,year,price,mileage,engine_size,Automatic,Manual,Other,Semi-Auto,Diesel,Hybrid,fuel_type_Other,Petrol
270,2015,16315,46155,21.0,0,0,0,1,1,0,0,0
271,2016,13991,49494,21.0,0,0,0,1,1,0,0,0
272,2016,16998,43014,21.0,0,0,0,1,1,0,0,0
273,2017,16498,29283,21.0,0,0,0,1,1,0,0,0
274,2016,16998,38830,21.0,0,0,0,1,1,0,0,0
275,2016,13690,49761,21.0,0,1,0,0,1,0,0,0
276,2014,14490,31801,21.0,0,0,0,1,1,0,0,0
277,2017,17998,22349,2.0,0,0,0,1,0,0,0,1
278,2019,29998,8520,2.0,0,0,0,1,1,0,0,0
279,2017,18998,27493,21.0,0,0,0,1,0,1,0,0
280,2018,18998,15075,2.0,0,0,0,1,0,0,0,1
281,2019,28998,5116,2.0,0,0,0,1,1,0,0,0
282,2019,24998,15009,15.0,0,0,0,1,0,0,0,1
283,2018,27998,6787,2.0,0,0,0,1,1,0,0,0
284,2015,16798,32409,21.0,0,0,0,1,1,0,0,0
285,2017,19998,23690,21.0,0,0,0,1,1,0,0,0
286,2020,29950,101,2.0,0,0,0,1,1,0,0,0
287,2017,20790,22485,21.0,0,0,0,1,0,1,0,0
288,2013,9490,41921,16.0,0,0,0,1,0,0,0,1
289,2017,15690,35488,21.0,0,0,0,1,1,0,0,0
290,2017,14990,41647,21.0,0,1,0,0,1,0,0,0
291,2015,17290,24923,21.0,0,0,0,1,1,0,0,0
292,2018,19490,11810,21.0,0,0,0,1,1,0,0,0
293,2019,28990,2000,2.0,0,0,0,1,1,0,0,0
294,2017,24990,6668,21.0,1,0,0,0,1,0,0,0
295,2014,28990,19562,62.0,0,0,0,1,0,0,0,1
296,2016,16298,29201,16.0,0,0,0,1,1,0,0,0
297,2016,14698,19864,21.0,0,1,0,0,1,0,0,0
298,2016,13998,22117,2.0,0,1,0,0,0,0,0,1
299,2015,14698,43331,21.0,0,0,0,1,1,0,0,0
300,2014,10498,51929,21.0,0,0,0,1,1,0,0,0
301,2015,11998,42245,21.0,0,0,0,1,1,0,0,0
302,2016,15698,42062,2.0,1,0,0,0,0,0,0,1
303,2015,16998,43883,21.0,0,0,0,1,1,0,0,0
304,2016,17998,36587,2.0,0,0,0,1,0,1,0,0
305,2017,20998,42036,21.0,0,0,0,1,1,0,0,0
306,2016,13691,36538,16.0,0,0,0,1,1,0,0,0
307,2014,13491,56000,21.0,0,1,0,0,1,0,0,0
308,2017,21998,11986,2.0,0,0,0,1,0,0,0,1
309,2015,14500,38783,21.0,0,0,0,1,1,0,0,0
310,2017,15990,38051,21.0,0,0,0,1,1,0,0,0
311,2016,20490,10542,2.0,0,0,0,1,0,0,0,1
312,2018,20890,3033,15.0,0,0,0,1,0,0,0,1
313,2014,14490,59884,21.0,0,0,0,1,1,0,0,0
314,2018,21990,1871,15.0,0,0,0,1,0,0,0,1
315,2015,14750,32594,21.0,0,0,0,1,1,0,0,0
316,2019,44990,1474,3.0,1,0,0,0,0,0,0,1
317,2019,24690,15210,15.0,0,0,0,1,0,0,0,1
318,2017,18270,49783,21.0,0,0,0,1,1,0,0,0
319,2018,26625,7175,2.0,1,0,0,0,1,0,0,0
320,2015,13361,35034,2.0,0,0,0,1,0,0,0,1
321,2017,17490,35576,21.0,0,0,0,1,1,0,0,0
322,2019,26427,13888,2.0,1,0,0,0,1,0,0,0
323,2019,29290,4703,2.0,0,0,0,1,1,0,0,0
324,2017,23047,8143,21.0,0,0,0,1,1,0,0,0
325,2015,13621,57066,16.0,0,0,0,1,1,0,0,0
326,2017,18200,25296,21.0,0,0,0,1,1,0,0,0
327,2017,16991,29907,21.0,0,0,0,1,1,0,0,0
328,2018,23498,5659,2.0,0,0,0,1,0,0,0,1
329,2015,14698,23063,21.0,0,0,0,1,1,0,0,0
330,2013,9798,60948,21.0,0,0,0,1,1,0,0,0
331,2016,17998,32769,21.0,1,0,0,0,1,0,0,0
332,2017,18998,20949,21.0,1,0,0,0,1,0,0,0
333,2016,20700,27890,21.0,0,0,0,1,1,0,0,0
334,2015,16990,11954,21.0,0,0,0,1,1,0,0,0
335,2014,11791,42879,21.0,0,0,0,1,1,0,0,0
336,2015,18191,11470,16.0,0,0,0,1,1,0,0,0
337,2016,20991,26205,21.0,0,0,0,1,1,0,0,0
338,2017,13321,61305,16.0,0,0,0,1,1,0,0,0
339,2016,21998,10561,21.0,0,0,0,1,1,0,0,0
340,2017,15998,72939,2.0,0,0,0,1,0,1,0,0
341,2015,13498,31125,21.0,0,1,0,0,1,0,0,0
342,2017,20871,37194,21.0,0,0,0,1,1,0,0,0
343,2018,25891,2240,2.0,0,0,0,1,0,0,0,1
344,2017,20591,21023,21.0,0,0,0,1,1,0,0,0
345,2016,19991,35975,21.0,0,0,0,1,1,0,0,0
346,2015,15990,55226,21.0,0,0,0,1,1,0,0,0
347,2019,30055,3686,2.0,1,0,0,0,1,0,0,0
348,2017,21650,33943,2.0,1,0,0,0,0,0,0,1
349,2018,25990,9699,2.0,0,0,0,1,0,0,0,1
350,2017,17690,25059,21.0,0,0,0,1,1,0,0,0
351,2019,30950,101,2.0,1,0,0,0,1,0,0,0
352,2019,24950,7006,15.0,1,0,0,0,0,0,0,1
353,2015,14998,38671,21.0,0,0,0,1,1,0,0,0
354,2017,19798,19877,2.0,0,0,0,1,0,1,0,0
355,2019,24498,7937,15.0,0,0,0,1,0,0,0,1
356,2018,19991,20027,21.0,0,0,0,1,1,0,0,0
357,2017,21991,19953,21.0,0,0,0,1,1,0,0,0
358,2018,22591,18551,21.0,0,0,0,1,1,0,0,0
359,2019,18790,14288,21.0,0,0,0,1,1,0,0,0
360,2019,25950,10485,15.0,1,0,0,0,0,0,0,1
361,2020,29950,101,2.0,0,0,0,1,1,0,0,0
362,2017,14990,27424,21.0,0,0,0,1,1,0,0,0
363,2020,31950,2985,2.0,1,0,0,0,1,0,0,0
364,2016,20990,36051,21.0,0,0,0,1,1,0,0,0
365,2020,28990,3458,15.0,1,0,0,0,0,0,0,1
366,2019,27000,6406,2.0,0,0,0,1,1,0,0,0
367,2015,12590,65000,21.0,0,0,0,1,1,0,0,0
368,2018,20885,22773,21.0,0,0,0,1,1,0,0,0
369,2014,25885,37000,62.0,0,0,0,1,0,0,0,1
370,2016,14965,30487,21.0,0,0,0,1,1,0,0,0
371,2017,16595,29814,21.0,1,0,0,0,1,0,0,0
372,2018,17940,28050,21.0,0,0,0,1,1,0,0,0
373,2018,19940,18882,21.0,0,0,0,1,1,0,0,0
374,2016,16498,27034,16.0,0,0,0,1,1,0,0,0
375,2016,14500,40620,16.0,0,0,0,1,1,0,0,0
376,2019,27791,9057,2.0,0,0,0,1,1,0,0,0
377,2019,26499,7060,2.0,0,0,0,1,1,0,0,0
378,2019,31990,4615,2.0,0,0,0,1,1,0,0,0
379,2018,20999,9250,15.0,0,0,0,1,0,0,0,1
380,2019,31999,1052,2.0,0,0,0,1,1,0,0,0
381,2017,17495,25149,2.0,0,0,0,1,0,0,0,1
382,2019,25495,5947,16.0,0,0,0,1,0,0,0,1
383,2019,36995,2749,2.0,1,0,0,0,1,0,0,0
384,2019,30999,7144,2.0,0,0,0,1,1,0,0,0
385,2019,29999,4843,2.0,0,0,0,1,1,0,0,0
